"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
24496,158,"NLD","Netherlands",5,"Groningen",131,"Leek"," "," ","Gemeente","Municipality"
24497,158,"NLD","Netherlands",5,"Groningen",132,"Loppersum"," "," ","Gemeente","Municipality"
24498,158,"NLD","Netherlands",5,"Groningen",133,"Marum"," "," ","Gemeente","Municipality"
24499,158,"NLD","Netherlands",5,"Groningen",134,"Menterwolde"," "," ","Gemeente","Municipality"
24500,158,"NLD","Netherlands",5,"Groningen",135,"Pekela"," "," ","Gemeente","Municipality"
24501,158,"NLD","Netherlands",5,"Groningen",136,"Reiderland"," "," ","Gemeente","Municipality"
24502,158,"NLD","Netherlands",5,"Groningen",137,"Scheemda"," "," ","Gemeente","Municipality"
24503,158,"NLD","Netherlands",5,"Groningen",138,"Slochteren"," "," ","Gemeente","Municipality"
24504,158,"NLD","Netherlands",5,"Groningen",139,"Stadskanaal"," "," ","Gemeente","Municipality"
24505,158,"NLD","Netherlands",5,"Groningen",140,"Ten Boer"," "," ","Gemeente","Municipality"
24506,158,"NLD","Netherlands",5,"Groningen",141,"Veendam"," "," ","Gemeente","Municipality"
24507,158,"NLD","Netherlands",5,"Groningen",142,"Vlagtwedde"," "," ","Gemeente","Municipality"
24508,158,"NLD","Netherlands",5,"Groningen",143,"Winschoten"," "," ","Gemeente","Municipality"
24509,158,"NLD","Netherlands",5,"Groningen",144,"Winsum"," "," ","Gemeente","Municipality"
24510,158,"NLD","Netherlands",5,"Groningen",145,"Zuidhorn"," "," ","Gemeente","Municipality"
24511,158,"NLD","Netherlands",6,"IJsselmeer",146," "," "," ","Gemeente","Water body"
24512,158,"NLD","Netherlands",7,"Limburg",147,"Ambt Montfort"," "," ","Gemeente","Municipality"
24513,158,"NLD","Netherlands",7,"Limburg",148,"Arcen en Velden"," "," ","Gemeente","Municipality"
24514,158,"NLD","Netherlands",7,"Limburg",149,"Beek"," "," ","Gemeente","Municipality"
24515,158,"NLD","Netherlands",7,"Limburg",150,"Beesel"," "," ","Gemeente","Municipality"
24516,158,"NLD","Netherlands",7,"Limburg",151,"Bergen"," "," ","Gemeente","Municipality"
24517,158,"NLD","Netherlands",7,"Limburg",152,"Brunssum"," "," ","Gemeente","Municipality"
24518,158,"NLD","Netherlands",7,"Limburg",153,"Echt-Susteren"," "," ","Gemeente","Municipality"
24519,158,"NLD","Netherlands",7,"Limburg",154,"Eijsden"," "," ","Gemeente","Municipality"
24520,158,"NLD","Netherlands",7,"Limburg",155,"Gennep"," "," ","Gemeente","Municipality"
24521,158,"NLD","Netherlands",7,"Limburg",156,"Gulpen-Wittem"," "," ","Gemeente","Municipality"
24522,158,"NLD","Netherlands",7,"Limburg",157,"Haelen"," "," ","Gemeente","Municipality"
24523,158,"NLD","Netherlands",7,"Limburg",158,"Heel"," "," ","Gemeente","Municipality"
24524,158,"NLD","Netherlands",7,"Limburg",159,"Heerlen"," "," ","Gemeente","Municipality"
24525,158,"NLD","Netherlands",7,"Limburg",160,"Helden"," "," ","Gemeente","Municipality"
24526,158,"NLD","Netherlands",7,"Limburg",161,"Heythuysen"," "," ","Gemeente","Municipality"
24527,158,"NLD","Netherlands",7,"Limburg",162,"Horst aan de Maas"," "," ","Gemeente","Municipality"
24528,158,"NLD","Netherlands",7,"Limburg",163,"Hunsel"," "," ","Gemeente","Municipality"
24529,158,"NLD","Netherlands",7,"Limburg",164,"Kerkrade"," "," ","Gemeente","Municipality"
24530,158,"NLD","Netherlands",7,"Limburg",165,"Kessel"," "," ","Gemeente","Municipality"
24531,158,"NLD","Netherlands",7,"Limburg",166,"Landgraaf"," "," ","Gemeente","Municipality"
24532,158,"NLD","Netherlands",7,"Limburg",167,"Maasbracht"," "," ","Gemeente","Municipality"
24533,158,"NLD","Netherlands",7,"Limburg",168,"Maasbree"," "," ","Gemeente","Municipality"
24534,158,"NLD","Netherlands",7,"Limburg",169,"Maastricht"," "," ","Gemeente","Municipality"
24535,158,"NLD","Netherlands",7,"Limburg",170,"Margraten"," "," ","Gemeente","Municipality"
24536,158,"NLD","Netherlands",7,"Limburg",171,"Meerlo-Wanssum"," "," ","Gemeente","Municipality"
24537,158,"NLD","Netherlands",7,"Limburg",172,"Meerssen"," "," ","Gemeente","Municipality"
24538,158,"NLD","Netherlands",7,"Limburg",173,"Meijel"," "," ","Gemeente","Municipality"
24539,158,"NLD","Netherlands",7,"Limburg",174,"Mook en Middelaar"," "," ","Gemeente","Municipality"
24540,158,"NLD","Netherlands",7,"Limburg",175,"Nederweert"," "," ","Gemeente","Municipality"
24541,158,"NLD","Netherlands",7,"Limburg",176,"Nuth"," "," ","Gemeente","Municipality"
24542,158,"NLD","Netherlands",7,"Limburg",177,"Onderbanken"," "," ","Gemeente","Municipality"
24543,158,"NLD","Netherlands",7,"Limburg",178,"Roerdalen"," "," ","Gemeente","Municipality"
24544,158,"NLD","Netherlands",7,"Limburg",179,"Roermond"," "," ","Gemeente","Municipality"
24545,158,"NLD","Netherlands",7,"Limburg",180,"Roggel en Neer"," "," ","Gemeente","Municipality"
24546,158,"NLD","Netherlands",7,"Limburg",181,"Schinnen"," "," ","Gemeente","Municipality"
24547,158,"NLD","Netherlands",7,"Limburg",182,"Sevenum"," "," ","Gemeente","Municipality"
24548,158,"NLD","Netherlands",7,"Limburg",183,"Simpelveld"," "," ","Gemeente","Municipality"
24549,158,"NLD","Netherlands",7,"Limburg",184,"Sittard-Geleen"," "," ","Gemeente","Municipality"
24550,158,"NLD","Netherlands",7,"Limburg",185,"Stein"," "," ","Gemeente","Municipality"
24551,158,"NLD","Netherlands",7,"Limburg",186,"Swalmen"," "," ","Gemeente","Municipality"
